GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EffectiveStudy,me.choi.item01.FlyWeightPattern,FlyWeightMain,72,0,2,0,19,0,5,0,4,0
EffectiveStudy,me.choi.item01.FlyWeightPattern,CoffeeFactory,33,0,2,0,8,0,4,0,3,0
EffectiveStudy,me.choi.item01.FlyWeightPattern,CoffeeContext,9,0,0,0,4,0,2,0,2,0
EffectiveStudy,me.choi.item01.FlyWeightPattern,Coffee,18,0,0,0,6,0,2,0,2,0
EffectiveStudy,me.choi.spring_abstractclass,Main,8,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.spring_abstractclass,GenericBeanDefinition,3,0,0,0,2,0,1,0,1,0
EffectiveStudy,me.choi.spring_abstractclass,AbstractBeanDefinition,14,0,0,0,6,0,2,0,2,0
EffectiveStudy,me.choi.spring_abstractclass,BeanMetadataAttributeAccessor,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item03.version03,Elvis3,24,0,0,0,9,0,5,0,5,0
EffectiveStudy,me.choi.item03.version01,Elvis,6,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.bitoperation,BitEx,69,0,2,0,15,0,8,0,7,0
EffectiveStudy,me.choi.item03.version04,SingletonSerialize,116,0,2,0,25,0,5,0,4,0
EffectiveStudy,me.choi.item03.version05,Elvis4,35,0,0,0,9,0,5,0,5,0
EffectiveStudy,me.choi.item03.version05,SingletonSerialize,116,0,2,0,25,0,5,0,4,0
EffectiveStudy,me.choi.item15.lsp,Square,11,0,0,0,5,0,3,0,3,0
EffectiveStudy,me.choi.item15.lsp,concreteChild,4,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.item15.lsp,Rectangle,23,0,0,0,8,0,6,0,6,0
EffectiveStudy,me.choi.item15.lsp,Parent,4,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.item15.lsp,concreteChild2,4,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.item15.lsp,Child,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item15.lsp,Main,44,0,2,0,11,0,4,0,3,0
EffectiveStudy,me.choi.stringEx,StringBuilderTest,21,0,0,0,6,0,2,0,2,0
EffectiveStudy,me.choi.stringEx,StringTest,85,0,6,0,21,0,8,0,5,0
EffectiveStudy,me.choi.item02.pizza.nestesClass,test,10,0,0,0,4,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.nestesClass,NestedClass,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza.nestesClass,NestedClass.NestedInnerClass,7,0,0,0,4,0,2,0,2,0
EffectiveStudy,me.choi.others,A,4,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.others,A.C,4,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.others,B,7,0,0,0,3,0,1,0,1,0
EffectiveStudy,me.choi.others,GetClassEx.ExtendedClassA,10,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.others,GetClassEx,20,0,0,0,6,0,2,0,2,0
EffectiveStudy,me.choi.others,GetClassEx.ClassA,11,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.generic.multigeneric,EmpInfo,33,0,0,0,14,0,7,0,7,0
EffectiveStudy,me.choi.item02.pizza.generic.multigeneric,Person,24,0,0,0,11,0,6,0,6,0
EffectiveStudy,me.choi.item02.pizza.generic.multigeneric,UsingMultiGeneric,19,0,0,0,4,0,1,0,1,0
EffectiveStudy,me.choi,App,7,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.item61,BrokenComparator,52,0,4,0,12,0,5,0,3,0
EffectiveStudy,me.choi.item61,Unbelievable,27,0,2,0,7,0,3,0,2,0
EffectiveStudy,me.choi.item02.pizza,Pizza,8,0,0,0,3,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza,Calzone.Size,34,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza,MyPizza.Size,34,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza,Calzone.Builder,15,0,0,0,5,0,3,0,3,0
EffectiveStudy,me.choi.item02.pizza,Main,16,0,0,0,4,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza,Pizza.Topping,54,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza,MyPizza,8,0,0,0,3,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza,Calzone,8,0,0,0,3,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza,Pizza.Builder,17,0,0,0,4,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza,MyPizza.Builder,15,0,0,0,5,0,3,0,3,0
EffectiveStudy,me.choi.item02.pizza.generic.whyusinggeneric,WhyUsingGenericStep02.Shop,13,0,0,0,4,0,3,0,3,0
EffectiveStudy,me.choi.item02.pizza.generic.whyusinggeneric,WhyUsingGenericMain,47,0,0,0,11,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza.generic.whyusinggeneric,WhyUsingGenericStep02,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza.generic.whyusinggeneric,WhyUsingGenericStep02.Shop2,13,0,0,0,4,0,3,0,3,0
EffectiveStudy,me.choi.item02.pizza.generic.whyusinggeneric,WhyUsingGeneric,29,0,0,0,8,0,1,0,1,0
EffectiveStudy,me.choi.others.overriding,Child,7,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.others.overriding,main,8,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.others.overriding,Parent,7,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.others.overriding,GrandMother,14,0,0,0,5,0,3,0,3,0
EffectiveStudy,me.choi.item01,Child,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item01,Chapter01Test,9,0,2,0,2,0,3,0,2,0
EffectiveStudy,me.choi.item02,NutritionFactsNofinal.Builder,12,0,0,0,4,0,1,0,1,0
EffectiveStudy,me.choi.item02,Main,28,0,0,0,7,0,2,0,2,0
EffectiveStudy,me.choi.item02,NutritionFactsWithBuilder.Builder,49,0,0,0,18,0,6,0,6,0
EffectiveStudy,me.choi.item02,NutritionFactsNofinal,21,0,0,0,8,0,2,0,2,0
EffectiveStudy,me.choi.item02,NutritionFacts,54,0,0,0,17,0,6,0,6,0
EffectiveStudy,me.choi.item02,NutritionFactsJavaBeans,27,0,0,0,14,0,7,0,7,0
EffectiveStudy,me.choi.item02,NutritionFactsWithBuilder,27,0,0,0,8,0,1,0,1,0
EffectiveStudy,me.choi.item03,Main,29,0,0,0,9,0,2,0,2,0
EffectiveStudy,me.choi.spring_sendmessage,DefaultClass,5,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.spring_sendmessage,CallClass,26,0,0,0,10,0,3,0,3,0
